animeTitle	b'Appaga Piryohae'
animeType	b'Movie'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	6.27
animeUsers	561
animeRank	
animePopularity	
animeDescription	"b'The short film ""Wolf Daddy"" directed by Chang Hyung-yun won the Hiroshima Award at the 11th Hiroshima Animation Festival. The 10 minute long animation film features the story of a werewolf novelist who gets to play the role of daddy for a six-year-old girl. Produced in 2005, the animation also won the 2005 Korean Animation Award and a Tokyo International Anime Fair award.'"
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
