animeTitle	SF Saiyuuki Starzinger (Movie)
animeType	Movie
animeNumEpisode	1
releaseDate	1979-03-17 00:00:00
endDate	
animeNumMembers	575
animeScore	5.57
animeUsers	178
animeRank	10148
animePopularity	12592
animeDescription	"Princess Aurora, the only survivor of her planet destroyed by evil mutants, is resolved to put an end to the mutant menace in the galaxy along with three enhanced human cyborgs Jesse Dart, Porkos and Aramus, she travels space in the Cosmos Queen to the Dekkos System to fight the final battle.

(Source: ANN)"
animeRelated	['SF Saiyuuki Starzinger']
animeCharacters	['Kugo, Jan', 'Djorgo, Sir', 'Aurora, Princess', 'Don, Hakka', 'Commander']
animeVoices	['Kamiya, Akira']
animeStaff	[['Annou, Masami', 'Episode Director'], ['Matsumoto, Leiji', 'Original Creator'], ['Kikuchi, Jouji', 'Planning, Animation Director']]
