animeTitle	b'Catman Series III'
animeType	b'TV'
animeNumEpisode	6
releaseDate	
endDate	
animeNumMembers	
animeScore	6.33
animeUsers	595
animeRank	
animePopularity	
animeDescription	"b""In a city filled with anthropomorphic cat-people, Catman lives free of rules and boundaries, doing everything he wants, which often collides with the other iinhabitants of the city. Created entirely in flash, with no spoken dialog, Catman instead speaks in English and Japanese subtitles. The series is spread across three so-called 'seasons', with only the third having been aired."""
animeRelated	[b'Catman Series II', b'Catman Specials']
animeCharacters	[b'Catman']
animeVoices	[]
animeStaff	[b'\n\n\n\n\n\n', b'\nThe Planet Smashers\n\nInserted Song Performance\n\n']
