animeTitle	Owaranai Seraph: Nagoya-hen
animeType	Special
animeNumEpisode	4
releaseDate	
endDate	
animeNumMembers	
animeScore	7.34
animeUsers	17262
animeRank	
animePopularity	2633
animeDescription	Specials included in the Blu-ray and DVD releases.
animeRelated	['Owari no Seraph: Nagoya Kessen-hen']
animeCharacters	['Hyakuya, Yuuichirou', 'Hiiragi, Shinoa', 'Hyakuya, Mikaela', 'Ichinose, Guren', 'Tepes, Krul', 'Hiiragi, Shinya', 'Saotome, Yoichi', 'Kimizuki, Shihou', 'Sanguu, Mitsuba', 'Hiiragi, Mahiru']
animeVoices	['Irino, Miyu', 'Hayami, Saori', 'Ono, Kensho', 'Nakamura, Yuuichi', 'Yuuki, Aoi', 'Suzuki, Tatsuhisa', 'Okamoto, Nobuhiko', 'Ishikawa, Kaito', 'Iguchi, Yuka', 'Endou, Aya']
animeStaff	[['Nakatake, Tetsuya', 'Producer']]
