animeTitle	Eromame
animeType	OVA
animeNumEpisode	2
releaseDate	2014-12-19 00:00:00
endDate	2015-03-27 00:00:00
animeNumMembers	4995
animeScore	6.49
animeUsers	1580
animeRank	
animePopularity	7022
animeDescription	Based on the original work by Mame Eda.
animeRelated	['Eromame']
animeCharacters	['Himeno', 'Kohinata', 'Yumika', 'Santa-san', 'Rise, Kurosaki', 'Junichi', 'Otoko']
animeVoices	['Sachi, Yun', 'Honda, Hiromasa', 'Hatamiya, Kanoko']
animeStaff	[['Hifumi', 'Art Director'], ['Kasumi, Kyouka', 'Director of Photography'], ['Eda, Mame', 'Original Creator']]
