animeTitle	Nonsense Bungaku
animeType	Music
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	7.09
animeUsers	774
animeRank	
animePopularity	10640
animeDescription	"An original song by Eve, sung by Hatsune Miku, animated by Mah. Eve's self-cover uses the same animated footage and was released on May 20, 2017. Eve included his self-cover MV on his own self-made record label harapeco records's CD+DVD release on December 13, 2017 as a part of his ""Bunka"" album."
animeRelated	['Ano Ko Secret', 'Dramaturgy', 'Oki ni Mesu mama']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
