animeTitle	b'Terajima-chou Kidan: Ginnagashi'
animeType	b'OVA'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	
animeDescription	b'Ten-year-old Kyoshi watches as a tramp transforms himself into a rich imposter at a stand-up bar in the Tamanoi district. Amusing tales from prewar Tokyo based on the 1968 autobiographical manga Strange Tales of Terajima and written by Yu Takita for the alternative magazine Garo.\n\n(Source: The Anime Encyclopedia)'
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
