animeTitle	Hitoriga The Animation
animeType	OVA
animeNumEpisode	4
releaseDate	2009-06-26 00:00:00
endDate	2010-09-22 00:00:00
animeNumMembers	
animeScore	6.26
animeUsers	2043
animeRank	
animePopularity	6612
animeDescription	"On the train to school one day, Shirakawa Sumire is molested. However, when she confides in teacher Takahashi, the nightmare escalates...

(Source: AniDB)"
animeRelated	['Hitoriga', 'Natsumushi The Animation']
animeCharacters	['Shirakawa, Sumire', 'Kurahashi']
animeVoices	['Sakurai, Harumi', 'Harada, Tomotaka']
animeStaff	[['Watase, Toshihiro', 'Director'], ['Tominaga, Tsuneo', 'Episode Director'], ['Sawayama, Shinichiro', 'Script, Screenplay'], ['Araki, Hideki', 'Storyboard']]
