animeTitle	Roppou Yabure-kun
animeType	TV
animeNumEpisode	110
releaseDate	1969-04-28 00:00:00
endDate	1969-09-26 00:00:00
animeNumMembers	325
animeScore	
animeUsers	
animeRank	12986
animePopularity	14285
animeDescription	"Short stories featuring the legal profession. The first anime to be broadcast on the new Nagoya Television Network (NTV).

Based on a story by Saga Sen.

(Source: AniDB)"
animeRelated	[]
animeCharacters	['Roppou, Yabure', 'Joubun, Rodouku', 'Narrator']
animeVoices	['Tomiyama, Kei', 'Chiba, Kouichi', 'Nakamura, Shuusei']
animeStaff	[['Wakabayashi, Ichirou', 'Script'], ['Tsuji, Masaki', 'Screenplay']]
