animeTitle	Universe
animeType	Music
animeNumEpisode	1
releaseDate	2007-03-21 00:00:00
endDate	
animeNumMembers	2055
animeScore	6.46
animeUsers	1187
animeRank	6375
animePopularity	9359
animeDescription	"Under the night sky feebly illuminated by innumerable twinkling stars, a little girl wanders alone through a magic world between darkness and dawan, that is not today and not tomorrow, inhabited by 6 billion solitudes. What will she encounter in this solitary night journey?

Music video for Maaya Sakamoto's song Universe, created by Production I.G."
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
