animeTitle	b'Mignon'
animeType	b'ONA'
animeNumEpisode	12
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	
animeDescription	b'Mignon is an original BL anime from South Korea. The animation follows a complex and exciting story of drama and desires. It revolves around a boxer named Mignon, and a vampire doctor Young-on Oh, who find solace in the presence of one another through an aggressive and romantic affair.\n\n(Source: Yu Alexius)'
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
