animeTitle	God Eater Resonant Ops
animeType	ONA
animeNumEpisode	1
releaseDate	2018-03-24 00:00:00
endDate	
animeNumMembers	
animeScore	6.01
animeUsers	674
animeRank	
animePopularity	8340
animeDescription	The opening movie to God Eater Resonant Ops, the iOS/Android game. The animation was streamed on Bandai Namco's official YouTube channel and was promoting the game's release slated for the following month. A second version of the video was posted on April 4, 2018 but contains no change in animation. Only the watermark and the still image at the end were changed.
animeRelated	['God Eater Reso Nantoka Gekijou: Nagerareta Shokupan', 'God Eater 3']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
