animeTitle	Yakin Byoutou
animeType	OVA
animeNumEpisode	10
releaseDate	
endDate	
animeNumMembers	
animeScore	6.28
animeUsers	4232
animeRank	
animePopularity	5120
animeDescription	"On a forbidden hospital ward, the head doctor performs madly erotic experiments, stripping the nursing staff of their uniforms, inhibitions and self-control... until even he is shocked by what he uncovers!

(Source: AniDB)"
animeRelated	['Yakin Byoutou', 'Yakin Byoutou Ni', 'Nanase Ren', 'Yakin Byoutou Kranke', 'Yakin Byoutou Specials']
animeCharacters	['Nanase, Ren', 'Hirasaka, Ryuji', 'Shinjou, Remi', 'Kodama, Hikaru', 'Fujisawa, Ako', 'Ohkawa, Naoya', 'Kodama, Ai']
animeVoices	['Ikeda, Hikaru', 'Tobita, Nobuo', 'Tanii, Asuka']
animeStaff	[['Okesawa, Hisashi', 'Director'], ['Mizuno, Kazunori', 'Director'], ['Mink', 'Original Creator'], ['Sano, Hiroaki', 'Music']]
