animeTitle	Tekken Chinmi
animeType	TV
animeNumEpisode	20
releaseDate	1988-07-02 00:00:00
endDate	1988-12-24 00:00:00
animeNumMembers	3868
animeScore	7.25
animeUsers	1673
animeRank	2650
animePopularity	7730
animeDescription	"Chinmi is a young Chinese boy devoted to martial arts training. Word of his skill reaches the kung-fu masters at the famous Dailin temple who invite him to study with them. Through his own dedication and the guidance of his teachers, Chinmi becomes one of the top students at the temple. Eventually, the time comes for him to leave Dailin and make a pilgrimage. On his journey he faces a number of dangers that test his skills, but he also meets many people who inspire him in different ways. A chastened but determined Chinmi returns to Dailin for advanced training. But soon his skills are needed again—the Mongol hordes are nearing the temple.

(Source: ANN)"
animeRelated	['Tekken Chinmi']
animeCharacters	['Chinmi', 'Gokuu', 'Narrator']
animeVoices	['Sakamoto, Chika', 'Ezawa, Masako', 'Nakamura, Tadashi']
animeStaff	[['Kitakubo, Hiroyuki', 'Storyboard'], ['Yagi, Saori', 'Theme Song Performance'], ['Tsurumaki, Kazuya', 'Key Animation'], ['Shida, Naotoshi', 'Key Animation']]
