animeTitle	b'Han Solo/Star Wars Story'
animeType	b'ONA'
animeNumEpisode	2
releaseDate	
endDate	
animeNumMembers	
animeScore	4.93
animeUsers	250
animeRank	
animePopularity	
animeDescription	b'Two shorts created by Disney Japan in honor of Solo: A Star Wars Story being released on MovieNEX, which is a set item of Blu-ray disc, DVD, and digital copy (cloud compatible) release of films (essentially every home-media release available as a single purchase). MovieNEX is unique to the Japanese market. '
animeRelated	[b'Star Wars/Force no Kakusei']
animeCharacters	[b'Solo, Han', b'Chewbacca', b'Calrissian, Lando']
animeVoices	[]
animeStaff	[]
