animeTitle	Zhen Dao Ge
animeType	ONA
animeNumEpisode	12
releaseDate	2021-02-05 00:00:00
endDate	2021-04-16 00:00:00
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	13056
animeDescription	"Zhen Dao Ge tells a revenge story about the homeless young man He Fangzhi, whose family was betrayed by his own people while they were migrating, and was brutally murdered. The male protagonist, He Fangzhi, pretended to be dead and escaped a scene. After the massacre, He practiced an extraordinary martial arts in Shuzhong and determined to avenge his family. With a fan and a place name that showed the clues of the enemy, He embarked on the road of revenge. 

(Source: XRENDER)"
animeRelated	['Zhen Dao Ge: Chenshi Hang']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
