animeTitle	Dalam-iwa Goseumdochi
animeType	TV
animeNumEpisode	32
releaseDate	1977-01-01 00:00:00
endDate	2012-06-06 00:00:00
animeNumMembers	512
animeScore	
animeUsers	
animeRank	15363
animePopularity	12881
animeDescription	"Squirrel and Hedgehog documents various animal communities warring and in conflict against one another, each animal being a symbolic representation of real life countries and sometimes political events.

A North Korean propaganda anime that was developed and produced in North Korea to be aired on state television."
animeRelated	[]
animeCharacters	['Geumsaegi']
animeVoices	[]
animeStaff	[]
