animeTitle	b'Hana Dorei'
animeType	b'OVA'
animeNumEpisode	2
releaseDate	
endDate	
animeNumMembers	
animeScore	5.53
animeUsers	571
animeRank	
animePopularity	
animeDescription	"b""An art pupil sees how his teacher uses his wife for bizarre sex games.\n\nAfter his teacher is killed, the pupil decides to take his teacher's place when it comes to sex games with the hot and now widowed wife. However, this sort of act won't lead to anything good.\n\n(Source: AniDB)"""
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
