animeTitle	Ichigo Mashimaro Episode 0
animeType	Special
animeNumEpisode	1
releaseDate	2005-06-08 00:00:00
endDate	
animeNumMembers	13308
animeScore	7.05
animeUsers	7440
animeRank	3596
animePopularity	4721
animeDescription	A brief special where the girls pretend to be astronauts. 
animeRelated	['Ichigo Mashimaro']
animeCharacters	['Matsuoka, Miu', 'Itou, Nobue', 'Itou, Chika', 'Sakuragi, Matsuri', 'Coppola, Ana']
animeVoices	['Orikasa, Fumiko', 'Nabatame, Hitomi', 'Chiba, Saeko', 'Kawasumi, Ayako', 'Noto, Mamiko']
animeStaff	[['Sakai, Kyuuta', 'Chief Animation Director, Character Design']]
