animeTitle	Tesagure! Bukatsumono
animeType	TV
animeNumEpisode	12
releaseDate	2013-10-06 00:00:00
endDate	2013-12-29 00:00:00
animeNumMembers	
animeScore	6.73
animeUsers	2259
animeRank	
animePopularity	5108
animeDescription	"The CG anime centers around the extracurricular activities of students.

(Source: AniDB)"
animeRelated	['Tesagure! Bukatsumono Encore', 'Tesagure! Bukatsumono Spin-off Purupurun Sharumu to Asobou']
animeCharacters	['Takahashi, Aoi', 'Tanaka, Koharu', 'Suzuki, Yua', 'Satou, Hina', 'Sonota, Mobuko']
animeVoices	['Ogino, Karin', 'Ohashi, Ayaka', 'Nishi, Asuka', 'Akesaka, Satomi', 'Ueda, Reina']
animeStaff	[['Ishidate, Koutarou', 'Director, Script, Series Composition'], ['Ohashi, Ayaka', 'Theme Song Performance'], ['Akesaka, Satomi', 'Theme Song Performance'], ['Nishi, Asuka', 'Theme Song Performance']]
