animeTitle	Tokusou Kihei Dorvack
animeType	TV
animeNumEpisode	36
releaseDate	
endDate	
animeNumMembers	
animeScore	6.16
animeUsers	177
animeRank	
animePopularity	10959
animeDescription	"When aliens invade Earth, Triple Command, led by fearless Masato Mugen, is placed in charge of defense. Masato is aided by Frenchman Pierre Bonaparte and Japanese-American girl Loui Oberon.  

(Source: AnimeNfo)"
animeRelated	[]
animeCharacters	['Oberon, Louise', 'Bonaparte, Pierre ', 'Mugen, Masato', 'Colonel Takagi']
animeVoices	['Tsuru, Hiromi', 'Kameyama, Sukekiyo', 'Furuya, Toru', 'Kobayashi, Kiyoshi']
animeStaff	[['Shimizu, Katsunori', 'Sound Director'], ['Hamatsu, Mamoru', 'Episode Director, Storyboard'], ['Kamijou, Osamu', 'Episode Director, Storyboard, Animation Director, Character Design'], ['Yoshida, Hiroshi', 'Episode Director, Storyboard']]
