animeTitle	Hibike! Euphonium 2 Specials
animeType	Special
animeNumEpisode	7
releaseDate	
endDate	
animeNumMembers	
animeScore	6.71
animeUsers	6604
animeRank	
animePopularity	4226
animeDescription	Short specials included in the Blu-ray/DVD releases.
animeRelated	['Hibike! Euphonium 2']
animeCharacters	['Oumae, Kumiko', 'Nakagawa, Natsuki', 'Yoshikawa, Yuuko', 'Nagase, Riko', 'Kousaka, Reina', 'Katou, Hazuki', 'Kawashima, Sapphire', 'Gotou, Takuya']
animeVoices	[]
animeStaff	[]
