animeTitle	Kyokujitsu no Kantai
animeType	OVA
animeNumEpisode	15
releaseDate	
endDate	
animeNumMembers	
animeScore	6.36
animeUsers	128
animeRank	
animePopularity	10595
animeDescription	"In Kyokujitsu no Kantai, Japan builds up on its success in the earlier series by expanding its blue-water capabilities to reach the Atlantic Ocean, challenging the Kriegsmarine in the process. Nazi Germany also launches a surgical strike on the White House and the Japanese fleet repels a German invasion of Britain.

Source: http://en.wikipedia.org/wiki/Konpeki_no_Kantai"
animeRelated	['Konpeki no Kantai']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
