animeTitle	Sengoku Choujuu Giga: Otsu
animeType	TV
animeNumEpisode	13
releaseDate	2017-01-15 00:00:00
endDate	2017-04-09 00:00:00
animeNumMembers	2706
animeScore	5.88
animeUsers	1281
animeRank	9102
animePopularity	8657
animeDescription	Second season of Sengoku Choujuu Giga.
animeRelated	['Sengoku Choujuu Giga: Kou']
animeCharacters	['Hideyoshi, Toyotomi', 'Tokugawa, Ieyasu', 'Nobunaga, Oda ', 'Honda, Tadakatsu', 'Mori, Ranmaru']
animeVoices	[]
animeStaff	[['Sumida, Takashi', 'Director'], ['Funada, Akira', 'Executive Producer'], ['Ueda, Yurisa', 'Animation Director']]
