animeTitle	Sengoku Choujuu Giga: Otsu
animeType	TV
animeNumEpisode	13
releaseDate	
endDate	
animeNumMembers	
animeScore	5.88
animeUsers	1281
animeRank	
animePopularity	8657
animeDescription	Second season of Sengoku Choujuu Giga.
animeRelated	['Sengoku Choujuu Giga: Kou']
animeCharacters	['Hideyoshi, Toyotomi', 'Tokugawa, Ieyasu', 'Nobunaga, Oda ', 'Honda, Tadakatsu', 'Mori, Ranmaru']
animeVoices	[]
animeStaff	[['Sumida, Takashi', 'Director'], ['Funada, Akira', 'Executive Producer'], ['Ueda, Yurisa', 'Animation Director']]
