animeTitle	Ketsuekigata-kun! 2
animeType	TV
animeNumEpisode	12
releaseDate	
endDate	
animeNumMembers	
animeScore	6.46
animeUsers	2137
animeRank	
animePopularity	7387
animeDescription	Second season of the Ketsuekigata-kun! series.
animeRelated	['Ketsuekigata-kun!', 'Ketsuekigata-kun! 3']
animeCharacters	['O-gata-kun', 'AB-gata-kun', 'B-gata-kun', 'A-gata-kun', 'AB-Gata-chan', 'O-Gata-chan', 'B-Gata-chan', 'A-Gata-chan', 'Narrator']
animeVoices	['Ishida, Akira', 'Kakihara, Tetsuya', 'Nakamura, Yuuichi', 'Fukuyama, Jun', 'Nakahara, Mai', 'Kobayashi, Yuu', 'Horie, Yui', 'Yuuki, Aoi', 'Narumi, Kyoko']
animeStaff	[['Ooyama, Yoshihisa', 'Director'], ['Earth Star Dream', 'Theme Song Performance'], ['Yamashita, Kenichi', 'Series Composition'], ['Maruyama, Rumi', 'Editing']]
