animeTitle	Nana Moon
animeType	TV
animeNumEpisode	52
releaseDate	2012-01-01 00:00:00
endDate	
animeNumMembers	234
animeScore	
animeUsers	
animeRank	12262
animePopularity	15526
animeDescription	"There is a mysterious Nana Moon in the universe with lovely little moonies as residents. One day, a girl named Coco from the Earth suddenly appeared, which reminded the moonies of an old saying that whenever a catastrophe would happen, a human with magic power will surely come from the Earth to help them discover 7 treasures to rescue Nana Moon.

(Source: Official Youtube)"
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
