animeTitle	b'Ikenai Boy'
animeType	b'OVA'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	4.78
animeUsers	165
animeRank	
animePopularity	
animeDescription	"b'An anime adaptation of the erotic manga ""Ikenai Boy"" by Yoshihiro Suma, serialized in Business Jump.\n\nOur hero is the typical young energetic college boy, but he got a special gift. He has ""magic hands"" that puts all women in ecstasy. Obviously he is taking advantage of this gift by meeting one bishoujo after the other! \n\n(Source: MU)'"
animeRelated	[b'Ikenai Boy: Ikasu Maruhi Hand Power']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
