animeTitle	b'Platonic Chain: Ansatsu Jikkouchuu'
animeType	b'Special'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	
animeDescription	"b'A DVD-only story that replaces episode 16 (""Oyaji Camera"") of the TV series. There is a system where anyone can submit a picture of a person that annoys them for 100 yen. When a million photos of the same person are collected, a killer is hired for the resulting 100.000.000 yen.'"
animeRelated	[b'Platonic Chain']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
