animeTitle	Sotsugyou ** Densha
animeType	OVA
animeNumEpisode	4
releaseDate	2020-04-24 00:00:00
endDate	2020-10-30 00:00:00
animeNumMembers	2251
animeScore	5.15
animeUsers	725
animeRank	
animePopularity	9150
animeDescription	"Based on the doujin CG by Ibukichi.

Bunta is a 43-year-old man who does nothing but think about his hot teacher from Nakajima Nanoka high school with whom he had a secret relationship. After years, she accidentally meets a woman who looks a lot like her old teacher named Nakajima Kanoko that she is a high school teacher with the same surname. Bunta falls madly in love with Kanoko and does not want to wait until the latter disappears like her former teacher."
animeRelated	[]
animeCharacters	['Nakajima, Nanoka', 'Nakajima, Kanoko', 'Kusaide, Bunta']
animeVoices	[]
animeStaff	[['Yokoyama, Hiromi', 'Director']]
