animeTitle	Nageki no Kenkou Yuuryouji
animeType	OVA
animeNumEpisode	3
releaseDate	
endDate	
animeNumMembers	
animeScore	6.16
animeUsers	1830
animeRank	
animePopularity	7005
animeDescription	"Hiroe Ogawa is a healthy, normal girl with an extraordinary, private dilemma. Hiroe is unable to reach sexual climax under any circumstances. Over Hiroe's objections, older housemate Mayaka and landlady Yayoi use a varity of sexual techniques, appendages, and even hypnotism in order to help Hiroe achieve her elusive goal.

(Source: ANN)"
animeRelated	[]
animeCharacters	"['Ogawa, Hiroe', 'Scientist', 'Fortune Teller', ""Takami's Friend 1"", 'Ogawa, Mayaka', 'Hiroe (Possessed)', 'Oide, Takami', 'Yayoi', ""Takami's Friend 2"", 'Sumio']"
animeVoices	['Takada, Yumi', 'Andou, Arisa', 'Toyoshima, Masami', 'Yoshida, Miho', 'Asada, Yoko']
animeStaff	[['Iwanami, Yoshikazu', 'Sound Director'], ['Wanyan, Aguda', 'Original Creator']]
