animeTitle	Doku Tenshi no Shippo
animeType	Special
animeNumEpisode	4
releaseDate	
endDate	
animeNumMembers	
animeScore	6.36
animeUsers	588
animeRank	
animePopularity	9848
animeDescription	Tenshi no Shippo omake.
animeRelated	['Otogi Story Tenshi no Shippo']
animeCharacters	['Tsubasa', 'Ran', 'Tamami', 'Ayumi', 'Momo', 'Mika', 'Mutsumi, Goro', 'Akane', 'Yuki', 'Kurumi']
animeVoices	['Nogawa, Sakura', 'Tanaka, Rie', 'Oosawa, Chiaki', 'Kawasumi, Ayako', 'Hirano, Aya', 'Yukana', 'Suganuma, Hisayoshi', 'Chiba, Saeko', 'Hikami, Kyouko', 'Nigo, Mayako']
animeStaff	[]
