animeTitle	Guruguru Petit Anime Gekijou
animeType	ONA
animeNumEpisode	24
releaseDate	
endDate	
animeNumMembers	
animeScore	6.06
animeUsers	150
animeRank	
animePopularity	11477
animeDescription	No synopsis information has been added to this title. Help improve our database by adding a synopsis here.
animeRelated	['Mahoujin Guruguru (2017)']
animeCharacters	['Kukuri', 'Nike', 'Eldol, Udberg', 'Gipple', 'Toma', 'Runrun', 'Migu', 'Zaza', 'Bado', 'Rena']
animeVoices	['Kohara, Konomi', 'Ishigami, Shizuka', 'Konishi, Katsuyuki', 'Sakurai, Takahiro', 'Fujii, Yukiyo', 'Oonishi, Saori', 'Hondo, Kaede', 'Fujiwara, Natsumi', 'Souma, Kouichi', 'Tsunematsu, Ayumi']
animeStaff	[['Ashina, Minoru', 'Producer, Director, Script'], ['Aketagawa, Jin', 'Sound Director'], ['Technoboys Pulcraft Green-Fund', 'Music'], ['Takehara, Minoru', 'Character Design']]
