animeTitle	b'Hey! Bumboo'
animeType	b'TV'
animeNumEpisode	130
releaseDate	
endDate	
animeNumMembers	
animeScore	6.03
animeUsers	520
animeRank	
animePopularity	
animeDescription	b'Bumboo is a very strange car-like creature with a cute yellow body. He was born from a mysterious egg at an automobile factory. Having heard the first cries of a newborn baby, a boy named Ken comes to the factory and meets Bumboo. They soon become good friends and set out on their exciting journey.\n\nTraveling the world with his four-wheeled friend and Mister the dog, Ken faces big trouble from Doctor Monkey\xe2\x80\x94who wants to get Bumboo into his own hands\xe2\x80\x94but finds thrills and excitement around every corner.\n\n(Source: AniDB)'
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
