animeTitle	Vicious
animeType	OVA
animeNumEpisode	2
releaseDate	2001-01-18 00:00:00
endDate	2001-05-01 00:00:00
animeNumMembers	
animeScore	5.83
animeUsers	697
animeRank	
animePopularity	9588
animeDescription	"Angela, a beautiful young woman, is trapped in a loveless existence. Hate is the only word to describe her feelings for her cold-blooded father who forces himself on the family maid, Bridget. However, along with her budding adolescence she finds lust and love with John, the Butler.

(Source: AniDB)"
animeRelated	['Vicious']
animeCharacters	['Angela']
animeVoices	[]
animeStaff	[['Kagesaki, Yuna', 'Original Creator']]
