animeTitle	Vampire Knight: Gekiai no Portrait
animeType	Special
animeNumEpisode	1
releaseDate	2008-11-26 00:00:00
endDate	
animeNumMembers	37840
animeScore	6.79
animeUsers	15483
animeRank	4655
animePopularity	2903
animeDescription	Aidou has the idea to hold elections for Moon Dorm's President. The candidates are Kaname and the current president Ichijou. Who will win? 
animeRelated	['Vampire Knight']
animeCharacters	['Kuran, Kaname', 'Aidou, Hanabusa', 'Ichijou, Takuma', 'Shiki, Senri', 'Tooya, Rima', 'Kain, Akatsuki', 'Souen, Ruka']
animeVoices	['Kishio, Daisuke', 'Fukuyama, Jun', 'Chiba, Susumu', 'Hoshi, Souichirou', 'Kitamura, Eri', 'Suwabe, Junichi', 'Minagawa, Junko']
animeStaff	[['Hino, Matsuri', 'Original Creator']]
