animeTitle	Munyeodo
animeType	Movie
animeNumEpisode	1
releaseDate	2018-10-06 00:00:00
endDate	
animeNumMembers	80
animeScore	
animeUsers	
animeRank	12213
animePopularity	18018
animeDescription	"Mohwa, who lives with her deaf daughter Nang-Yi, has been practicing Shamanism her entire life. One day, her son Wook-Yi returns home but as a converted Christian. This sparks conflict between mother and son which ends in a terrible tragedy that leads Nang-Yi to create a mysterious painting.

(Source: Annecy)"
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
