animeTitle	Obocchama-kun
animeType	TV
animeNumEpisode	164
releaseDate	1989-01-14 00:00:00
endDate	1992-09-26 00:00:00
animeNumMembers	526
animeScore	6.07
animeUsers	158
animeRank	8320
animePopularity	12839
animeDescription	Based on the children's award winning manga by Kobayashi Yoshinori, serialized  in Shogakukan's CoroCoro Comic.
animeRelated	[]
animeCharacters	['Obocchama', 'Binbo, Taizou', 'Chanshi', 'Obou Kamemitsu', 'Moo, Doctor']
animeVoices	['Koujiro, Chie', 'Matsumoto, Rica', 'Mizutani, Yuuko', 'Ginga, Banjou', 'Genda, Tesshou']
animeStaff	[['Yasumi, Tetsuo', 'Director, Script'], ['Watanabe, Shinichi', 'Episode Director'], ['Daichi, Akitarou', 'Episode Director, Script'], ['Kinoshita, Yuuki', 'Episode Director, Animation Director']]
