animeTitle	Hump Bang
animeType	OVA
animeNumEpisode	2
releaseDate	
endDate	
animeNumMembers	
animeScore	6.45
animeUsers	1692
animeRank	
animePopularity	7308
animeDescription	"Kouji and Hiro are exploring their sexual lives, not with ease, but with gradual acceptance of each other's tastes. Kouji acts as the dominant master and Hiro seems to be the willing slave. Will this setup work for these two?

(Source:  HentaiTake)"
animeRelated	[]
animeCharacters	['Hiro', 'Kouji', 'Rin']
animeVoices	[]
animeStaff	[['Ryohzoh', 'Original Creator']]
