animeTitle	NieA Under 7
animeType	TV
animeNumEpisode	13
releaseDate	
endDate	
animeNumMembers	
animeScore	6.85
animeUsers	8616
animeRank	
animePopularity	3256
animeDescription	"In the 21st century, aliens have arrived on Earth and live among humans. In sleepy Enohana, the dirt-poor student Chigasaki Mayuko finds herself living together with NieA, a low-caste (""Under Seven"") alien. While Mayuko struggles diligently to make ends meet, NieA seems to be totally unconcerned with the consequences of her actions. As the odd couple throws off the expected sparks, the wrecked alien mothership looms in the background... 

(Source: ANN)"
animeRelated	['NieA Under 7']
animeCharacters	['Chigasaki, Mayuko', 'Niea', 'Chada', 'Komatsu, Chiaki', 'Karita, Chie', 'Someya, Genzo', 'Yoshioka, Nenji', 'Karna', 'Hiyama, Kotomi', 'Enoshima, Momo']
animeVoices	['Kawasumi, Ayako', 'Miyamura, Yuko', 'Orikasa, Fumiko', 'Ogasawara, Mari', 'Okamori, Akira', 'Sugou, Takayuki', 'Kawakami, Tomoko', 'Ochiai, Rumi', 'Ichikawa, Chieko']
animeStaff	[['Ueda, Yasuyuki', 'Producer'], ['Satou, Takuya', 'Director, Script, Storyboard, Animation Director'], ['Tokoro, Tomokazu', 'Director'], ['Tsuruoka, Youta', 'Sound Director']]
