animeTitle	Usavich
animeType	TV
animeNumEpisode	13
releaseDate	2006-01-01 00:00:00
endDate	2007-01-01 00:00:00
animeNumMembers	6354
animeScore	6.94
animeUsers	3630
animeRank	4043
animePopularity	6358
animeDescription	Collection of animated shorts from MTV Japan and produced by Studio Kanaban that follows the misadventures of Kirenenko and Putin, two rabbits stuck in a Russian prison. 
animeRelated	['Usavich II', 'Usavich Special', 'Usavich Zero']
animeCharacters	['Kirenenko', 'Putin', 'Comăneci', 'Leningrad']
animeVoices	['Ueno, Hironori']
animeStaff	[['Tomioka, Satoshi', 'Director, Script, Storyboard, Screenplay, Original Creator'], ['Bach, Johann Sebastian', 'Music'], ['Ueno, Hironori', 'Sound Effects, Music']]
