animeTitle	Ryojoku no Rensa
animeType	OVA
animeNumEpisode	2
releaseDate	2003-09-12 00:00:00
endDate	2004-01-09 00:00:00
animeNumMembers	3854
animeScore	5.99
animeUsers	1360
animeRank	
animePopularity	7734
animeDescription	"Blackmail, lust, and unspeakable acts are performed in a secret room when two adult video store workers create their own erotic film with a cast of unwilling women. Soon the police start sniffing around the scene, but not to stop the illicit movie magic, they want a piece of the action. 

(Source: ANN)"
animeRelated	[]
animeCharacters	['Serizawa, Hiroko', 'Serizawa, Miki', 'Sasamoto, Shizue']
animeVoices	[]
animeStaff	[['Sunaga, Naruhito', 'Script'], ['Suginami, Daifuku', 'Assistant Director, Character Design']]
