animeTitle	Qui Shui Yi Yun
animeType	ONA
animeNumEpisode	12
releaseDate	
endDate	
animeNumMembers	
animeScore	5.85
animeUsers	182
animeRank	
animePopularity	11037
animeDescription	A villa, involved in strange circumstances in the 1990s, is bulldozed and new homes are built on top. The ostensibly peaceful town and its inhabitants will soon have its cover blown wide open. Mysterious forces are at play, rooted in a disturbing truth.
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
