animeTitle	b'Himitsukessha Taka no Tsume NEO'
animeType	b'TV'
animeNumEpisode	38
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	
animeDescription	"b""Eagle Talon, a secret society based in Kojimachi, Tokyo, with plans for world domination, isn't a secret society anymore! In fact, it's a famous society, known by just about every household in Japan there is, because Eagle Talon went nation-wide with golden time on NHK!"""
animeRelated	[b'Himitsukessha Taka no Tsume MAX', b'Himitsukessha Taka no Tsume The Movie 4: Kaspersky wo Motsu Otoko']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
