animeTitle	b'Tonpei to Sarukichi'
animeType	b'Movie'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	5.53
animeUsers	203
animeRank	
animePopularity	
animeDescription	b'A lazy pig Tonpei steals food from the monkeys Sarukichi and assaults some of them. After getting beat up, the pig talks to the lion king and lies to him about what happened. The lion comes to put the monkeys back into place and an all out war starts with tanks, guns, and airplanes.'
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
