animeTitle	Jigoku Sensei Nube OVA
animeType	OVA
animeNumEpisode	3
releaseDate	1998-06-12 00:00:00
endDate	1999-05-14 00:00:00
animeNumMembers	2768
animeScore	7.11
animeUsers	931
animeRank	3323
animePopularity	8583
animeDescription	Continuation of the TV series.
animeRelated	['Jigoku Sensei Nube']
animeCharacters	['Nueno, Meisuke', 'Inaba, Kyouko', 'Tateno, Hiroshi', 'Yukime', 'Takahashi, Ritsuko', 'Hazuki, Izuna', 'Kimura, Katsuya', 'Hosokawa, Miki', 'Kurita, Makoto', 'Tamamo, Kyousuke']
animeVoices	['Okiayu, Ryoutarou', 'Kasahara, Rumi', 'Fujita, Toshiko', 'Shiratori, Yuri', 'Neya, Michiko', 'Honda, Chieko', 'Tanaka, Kazunari', 'Tominaga, Miina', 'Urawa, Megumi', 'Morikawa, Toshiyuki']
animeStaff	[['Sakurada, Hiroyuki', 'Assistant Producer'], ['Kaizawa, Yukio', 'Director, Episode Director'], ['Nakamura, Tetsuharu', 'Director'], ['Suga, Yoshiyuki', 'Script']]
