animeTitle	Tight-rope
animeType	OVA
animeNumEpisode	2
releaseDate	
endDate	
animeNumMembers	
animeScore	7.03
animeUsers	22574
animeRank	
animePopularity	2685
animeDescription	"Tightrope tells the tale of the reluctant heir of a yakuza family and his childhood friend, and follows their love relationship that started budding in their school days and keeps developing slowly but surely.

(Source: Simona's BL Research Lab)"
animeRelated	['Tight-rope']
animeCharacters	['Satoya, Naoki', 'Oohara, Ryuunosuke', 'Tetsu', 'Tachibana, Kensuke', 'Nishijima, Keigo']
animeVoices	['Tachibana, Shinnosuke', 'Suzuki, Tatsuhisa', 'Fukushima, Jun', 'Ichijo, Kazuya', 'Takaguchi, Kousuke']
animeStaff	[['Yamamoto, Toshiyuki', 'Producer'], ['Enatsu, Yuki', 'Script, Series Composition'], ['Natsume, Isaku', 'Original Creator'], ['Watanabe, Kazuo', 'Character Design']]
