animeTitle	b'Sirotsumekusa'
animeType	b'Movie'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	
animeDescription	"b'Ao Sirotubaki, who works at ""Hanagumi"", was living a normal and quiet life as a flower shop owner. However, her twin sister, Beni Sirotubaki, contacts Ao for the first time in six years. What happened to the sisters six years ago, and what do the two reunited talk about? The lives of the sisters begin to move greatly as their feelings intermingle. A shocking one-situation suspense movie developed in the world\'s first all-cast VTuber!!\n\n(Source: Humax Cinema)'"
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
