animeTitle	Karakuri Pierrot wo Utattemita
animeType	Music
animeNumEpisode	1
releaseDate	2019-08-25 00:00:00
endDate	
animeNumMembers	778
animeScore	6.41
animeUsers	391
animeRank	6653
animePopularity	11804
animeDescription	Music Video of the original Vocaloid song of 40mP that is performed by the project band Pastel＊Palettes as a collaboration between Bang Dream! and Hatsune Miku.
animeRelated	['BanG Dream!', 'Lost One no Goukoku wo Utattemita', 'Alien Alien wo Utattemita', 'Romeo to Cinderella wo Utattemita']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
