animeTitle	Mobile Suit Gundam 00 Special Edition
animeType	OVA
animeNumEpisode	3
releaseDate	2009-10-27 00:00:00
endDate	2010-02-23 00:00:00
animeNumMembers	10820
animeScore	7.58
animeUsers	3673
animeRank	1373
animePopularity	5137
animeDescription	Condensed version of both the first and second seasons of Gundam 00 featuring some new animated sequences and some partially re-recorded dialogue. 
animeRelated	['Mobile Suit Gundam 00', 'Mobile Suit Gundam 00 Second Season']
animeCharacters	['Seiei, Setsuna F.', 'Stratos, Lockon', 'Erde, Tieria', 'Haptism, Allelujah', 'Aker, Graham', 'Haro', 'Grace, Feldt', 'Lee Noriega, Sumeragi', 'Al-Saachez, Ali']
animeVoices	['Miyano, Mamoru', 'Miki, Shinichiro', 'Kamiya, Hiroshi', 'Yoshino, Hiroyuki', 'Nakamura, Yuuichi', 'Ogasawara, Arisa', 'Takagaki, Ayahi', 'Honna, Youko', 'Fujiwara, Keiji']
animeStaff	[['Natori, Takahiro', 'Episode Director'], ['Yatate, Hajime', 'Original Creator'], ['Kuroda, Yousuke', 'Screenplay'], ['Abe, Misao', 'Key Animation']]
