animeTitle	Kakutou Bijin Wulong: Rebirth
animeType	TV
animeNumEpisode	25
releaseDate	2006-04-02 00:00:00
endDate	2006-10-01 00:00:00
animeNumMembers	3248
animeScore	6.89
animeUsers	667
animeRank	4260
animePopularity	8182
animeDescription	"Mao Lan continues growing into her path in life through what she learns while fighting. Her grandfather thinks that she has grown complacent and decides to train an adversary for her next Prime Mat appearance. Training with her friends and companions Mao Lan slowly advances through life.

(Source: AniDB)"
animeRelated	['Kakutou Bijin Wulong']
animeCharacters	['Mao, Lan']
animeVoices	[]
animeStaff	[['Kobayashi, Katsuyoshi', 'Sound Director'], ['Kosaka, Harume', 'Episode Director'], ['U-ka Saegusa in db', 'Theme Song Performance, Theme Song Composition, Theme Song Lyrics'], ['Ishikawa, Yuugo', 'Original Creator']]
