animeTitle	Shin Tenchi Muyou! Specials
animeType	Special
animeNumEpisode	6
releaseDate	1997-01-01 00:00:00
endDate	1997-09-23 00:00:00
animeNumMembers	3654
animeScore	6.81
animeUsers	1141
animeRank	4567
animePopularity	7871
animeDescription	Omakes of Tenchi in Tokyo that were sold on the Laserdiscs in Japan.  Contains 3 stories, each in two parts.
animeRelated	['Shin Tenchi Muyou!']
animeCharacters	['Hakubi, Ryouko', 'Kumashiro, Sakuya', 'Masaki, Tenchi', 'Ryou-Ouki', 'Masaki, Sasami Jurai', 'Kuramitsu, Mihoshi', 'Makibi, Kiyone']
animeVoices	[]
animeStaff	[['Kajishima, Masaki', 'Original Character Design']]
