animeTitle	Xin Jue
animeType	ONA
animeNumEpisode	13
releaseDate	
endDate	
animeNumMembers	
animeScore	6.23
animeUsers	121
animeRank	
animePopularity	11667
animeDescription	"The power of beginnings, the energy of the core stone; one may find it good, one may find it evil. During a normal investigation, Yue Juntian finds himself drawn into the battle between the 'beginnings' of Yun City; Jiang Xin arrives in Yun City to stop Li Zunyuan's plan to take over. The two influence each other - one solves the mystery of their birth, the other redeems themselves. Together, they oppose Li Zunyuan.

(Source: V2Anime)"
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
