animeTitle	Ro-Kyu-Bu! SS Recap
animeType	Special
animeNumEpisode	1
releaseDate	2013-08-16 00:00:00
endDate	
animeNumMembers	3900
animeScore	6.5
animeUsers	1270
animeRank	6150
animePopularity	7706
animeDescription	Recap of the first six episodes aired between episode 6-7. Also contains footage from Ro-Kyu-Bu!: Tomoka no Ichigo Sundae OVA.
animeRelated	['Ro-Kyu-Bu!: Tomoka no Ichigo Sundae', 'Ro-Kyu-Bu! SS']
animeCharacters	['Minato, Tomoka', 'Hakamada, Hinata', 'Misawa, Maho', 'Kashii, Airi', 'Nagatsuka, Saki', 'Hasegawa, Subaru', 'Balguerie, Mimi', 'Ogiyama, Aoi', 'Fujii, Masami', 'Takenaka, Natsuhi']
animeVoices	['Hanazawa, Kana', 'Ogura, Yui', 'Iguchi, Yuka', 'Hidaka, Rina', 'Hikasa, Youko', 'Kaji, Yuki', 'Kuno, Misaki', 'Itou, Kanae', 'Taneda, Risa', 'Kotobuki, Minako']
animeStaff	[['Tinkle', 'Original Character Design'], ['Aoyama, Sagu', 'Original Creator'], ['Watanabe, Takeshi', 'Music']]
