animeTitle	Kyoufu! Zombie Neko
animeType	TV
animeNumEpisode	52
releaseDate	2015-10-02 00:00:00
endDate	2016-09-30 00:00:00
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	10833
animeDescription	"The series of ""warm and soothing"" anime shorts will follow a cat who is suddenly resurrected from the grave and begins to wander around town. Despite being a zombie, the cat is able to get all the townsfolk to fall in love with it.

(Source: ANN)"
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
