animeTitle	Princess Knight☆Catue
animeType	OVA
animeNumEpisode	3
releaseDate	
endDate	
animeNumMembers	
animeScore	6.66
animeUsers	2148
animeRank	
animePopularity	6637
animeDescription	"Based on the erotic game ""Princess Knight☆Catue: Ochita Ryuuki Hime"" by Valkyria."
animeRelated	['Princess Knight☆Catue: Ingoku no Ryuuki Hime', 'Princess Knight☆Catue DVD-BOX Special']
animeCharacters	['Dragundaala, Catue', 'Ginyol', 'Dragundaala, Nina', 'Pig Man', 'Hemy, Jindrack', 'Anna']
animeVoices	['Aoba, Ringo', 'Ichimura, Oma', 'Sugisaki, Ryou', 'Ookubo, Aiko']
animeStaff	[['Makino, Yukihiro', 'Director, Storyboard'], ['Nakagawa, Tatsuto', 'Sound Director'], ['Yakushi, Ruri', 'Theme Song Lyrics, Theme Song Performance, Theme Song Composition'], ['Iijima, Hiroya', 'Character Design']]
