animeTitle	Keijo!!!!!!!! Specials
animeType	Special
animeNumEpisode	6
releaseDate	
endDate	
animeNumMembers	
animeScore	6.47
animeUsers	6368
animeRank	
animePopularity	3966
animeDescription	Specials bundled with the DVD/BD release of the main series.
animeRelated	['Keijo!!!!!!!!']
animeCharacters	['Kaminashi, Nozomi', 'Miyata, Sayaka', 'Aoba, Kazane', 'Toyoguchi, Non', 'Kusakai, Mio', 'Kawai, Hanabi', 'Ujibe, Nagisa']
animeVoices	['Lynn', 'Ichimichi, Mao', 'Hondo, Kaede', 'Oonishi, Saori', 'Yamamura, Hibiku', 'Maeda, Rena', 'Andou, Mabuki']
animeStaff	[['Sorayomi, Daichi', 'Original Creator']]
