animeTitle	Taishou Yakyuu Musume. Specials
animeType	Special
animeNumEpisode	2
releaseDate	2009-10-07 00:00:00
endDate	2010-01-06 00:00:00
animeNumMembers	
animeScore	6.21
animeUsers	349
animeRank	
animePopularity	10323
animeDescription	"The members of Ohka-kai heard of a rumor of an equipment called ""kondara"" (Japanese slang of a roller used to level the ground), which is essential to baseball. As they discuss what a Kondara is, the hot debate goes causes the excited members to get confused. Finally, Koume decides to look for a kondara, but Anna is also excited and cannot be counted on."
animeRelated	['Taishou Yakyuu Musume.']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
