animeTitle	Tora-chan to Hanayome
animeType	Movie
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	5.58
animeUsers	502
animeRank	
animePopularity	11065
animeDescription	Tora-chan and Miike and playing while their big sister prepares for her wedding. Just then a letter arrives; it's from Grandfather, who writes that he won't allow the wedding as long as he lives! Bride and groom rush to the church to get married before the old cat can stop them, but his boat has just arrived! Can Tora-chan and Miike keep him distracted long enough for their sister's happy day to go uninterrupted? 
animeRelated	['Suteneko Tora-chan', 'Tora-chan no Kankan Mushi']
animeCharacters	['Tora', 'Grandfather']
animeVoices	[]
animeStaff	[['Masaoka, Kenzou', 'Director'], ['Yamamoto, Zenjirou', 'Production Manager']]
