animeTitle	b'Dragon Egg'
animeType	b'TV'
animeNumEpisode	52
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	
animeDescription	b'10 years ago, a mysterious stone which looks just like an egg was found. This egg turns out to be an ancient legendary Dragon Egg and it later transformed in to a dragon. People call this the \xe2\x80\x98First Hatching\xe2\x80\x99 and found out that they are able to use a dragon\xe2\x80\x99s powerful energy only if they can speak the language of dragon. Soon after they found out this, an international society choose talented children to communicate with dragon and train them to carry out impossible missions. This group of children are called as Knights of Dragon. The Knights of Dragon carry out impossible missions successfully by finding dragons and their language hidden all around the world. Everything working out great only before they got attack from Defectors\xe2\x80\xa6\n\n(Source: Official YouTube channel)'
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
