animeTitle	Tama Pawns
animeType	ONA
animeNumEpisode	6
releaseDate	2017-01-27 00:00:00
endDate	2017-02-01 00:00:00
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	12574
animeDescription	"The story follows Mihiro and begins on a day like any other. Mihiro bumps heads with a pet dog and loses consciousness. When she wakes up, she finds herself in a mysterious animal world. Mihiro discovers the shocking truth of her new situation and starts work at an animal pawn shop. She sets her sights on the day she can leave the shop and return to her former world.

(Source: ANN)"
animeRelated	[]
animeCharacters	['Mihiro']
animeVoices	['Touyama, Nao']
animeStaff	[]
