animeTitle	Ponkotsu Quest x Monsterz
animeType	ONA
animeNumEpisode	3
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	15103
animeDescription	A collaboration promotion between the Ponkotsu Quest anime and the Monsterz live action horror film (which is a remake of a South Korean film titled  Haunters) airing in theaters.
animeRelated	['Ponkotsu Quest: Maou to Haken no Mamono-tachi']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
