animeTitle	Morita-san wa Mukuchi. 2
animeType	TV
animeNumEpisode	13
releaseDate	2011-10-05 00:00:00
endDate	2011-12-28 00:00:00
animeNumMembers	12343
animeScore	6.67
animeUsers	6713
animeRank	5217
animePopularity	4874
animeDescription	The second season of Morita-san wa Mukuchi that directly follows the first.
animeRelated	['Morita-san wa Mukuchi', 'Morita-san wa Mukuchi.', 'Morita-san wa Mukuchi. Specials']
animeCharacters	['Morita, Mayu', 'Matsuzaka, Hana', 'Murakoshi, Miki', 'Miura, Chihiro', 'Girl with Glasses', 'Oono, Kouichi', 'Kokubo, Ryuuta', 'Maki', 'Morita, Father', 'Morita, Yumi']
animeVoices	['Hanazawa, Kana', 'Nanjou, Yoshino', 'Tomatsu, Haruka', 'Hayami, Saori', 'Satou, Amina', 'Ooshita, Kouta', 'Kubota, Ryuuichi', 'Yamaguchi, Rie', 'Kii, Masatoshi', 'Nanase, Ami']
animeStaff	[['Hayashi, Naotaka', 'Director'], ['Karasuma, Ryou', 'Script'], ['Yamashita, Toshinari', 'Character Design'], ['Sano, Tae', 'Original Creator']]
