animeTitle	b'Shikijou Kyoudan'
animeType	b'OVA'
animeNumEpisode	2
releaseDate	
endDate	
animeNumMembers	
animeScore	6.78
animeUsers	2289
animeRank	
animePopularity	
animeDescription	"b'A middle-aged man who has lost his job and home because of his arrogant nature. Leading a vagrant lifestyle, he became embittered and aggressive towards society. One day he meets a mysterious beauty Shima Itski, who invites him to become the founder of the sex cult ""Ishin No Kai"" and in addition to this, she offers him a huge amount of money, a house, and a car. Of course, our hero just could not refuse the sultry beauty and now he has become the ""Lord"" of a mad sex cult with unimaginably depraved rituals\xe2\x80\xa6'"
animeRelated	[]
animeCharacters	[b'Itsuki, Shima']
animeVoices	[]
animeStaff	[]
